Stress_Level,Sector,Increased_Work_Hours,Work_From_Home,Hours_Worked_Per_Day,Meetings_Per_Day,Productivity_Change,Health_Issue,Job_Security,Childcare_Responsibilities,Commuting_Changes,Technology_Adaptation,Salary_Changes,Team_Collaboration_Challenges,Affected_by_Covid
Medium,IT,1,0,8.503,39.974,0,1,0,0,0,0,0,1,1
Low,Education,1,0,9.853,5.971,0,1,1,0,1,0,0,1,1
High,IT,1,1,6.648,4.604,0,0,0,0,0,1,1,1,1
Low,Healthcare,1,1,7.026,4.788,1,1,1,1,1,1,0,0,1
Medium,Education,1,1,666.22,374.851,1,0,1,0,1,1,0,0,1
High,Retail,1,0,7.335,5.188,0,1,1,0,1,0,0,0,1
Medium,Healthcare,1,1,1.085,445.348,1,0,1,0,0,0,0,1,1
Medium,IT,1,1,9.145,4.066,0,1,0,0,0,1,0,1,1
Medium,IT,1,1,5.737,2.885,1,0,0,1,0,0,0,1,1
Low,Healthcare,1,1,6.799,38.296,1,1,0,0,0,1,1,1,1
Medium,Healthcare,0,0,8.745,23.807,1,0,0,0,1,1,1,1,1
Medium,Retail,1,1,6.186,3.939,0,0,1,1,0,0,0,1,1
Low,Retail,0,0,6.549,4.133,0,0,0,0,1,0,0,1,1
Medium,Education,0,1,10.689,39.322,1,1,1,0,1,0,0,0,1
Low,Retail,0,1,6.773,36.544,0,0,1,0,0,0,0,1,1
High,Retail,1,1,9.909,2.236,1,1,0,1,1,1,0,1,1
Medium,Healthcare,1,1,10.51,4.747,0,1,1,0,0,0,0,1,1
Low,IT,0,1,6.533,4.955,0,1,1,1,0,1,0,1,1
High,Education,1,0,6.22,33.604,1,0,0,0,1,1,1,1,1
Medium,Healthcare,1,0,744.773,4.823,1,0,0,0,0,1,1,1,1
Medium,Education,1,1,582.274,4.886,1,1,0,0,0,0,0,0,1
Medium,IT,0,1,8.242,36.554,0,0,0,0,0,0,0,1,1
Medium,IT,1,0,7.588,6.301,0,1,1,0,1,1,0,0,1
Low,Healthcare,1,1,8.721,29.123,1,0,1,1,1,1,1,0,1
Low,Retail,0,1,10.793,620.704,1,0,0,0,1,1,0,0,1
Medium,IT,1,1,9.634,36.622,1,1,0,0,0,1,0,1,1
High,Education,1,1,8.978,27.35,1,1,0,1,1,1,1,0,1
Medium,Retail,1,1,4.067,34.726,0,0,1,0,0,1,0,1,1
Medium,Education,1,1,888.675,2.35,1,0,1,1,0,0,0,1,1
High,Retail,1,0,11.445,5.176,1,1,0,1,0,1,0,1,1
Medium,Healthcare,1,1,19.789,15.958,1,0,1,1,0,1,1,0,1
Medium,Healthcare,1,0,9.378,6.084,0,0,1,0,1,1,1,1,1
High,IT,0,0,7.681,259.619,1,0,0,1,1,0,1,1,1
Medium,Education,1,1,630.04,5.254,1,0,0,1,0,1,0,1,1
Low,Healthcare,1,1,9.602,4.036,1,0,0,0,0,0,0,1,1
Medium,IT,1,1,11.419,44.062,0,0,0,1,1,1,0,1,1
High,Education,1,1,9.55,31.149,0,1,0,0,1,1,0,1,1
Medium,Retail,1,1,7.257,4.529,1,1,0,0,0,0,0,1,1
Medium,Retail,0,1,6.113,4.202,1,0,1,1,0,1,0,1,1
Low,Education,1,1,8.289,18.131,0,0,0,0,1,0,0,1,1
Medium,Education,0,1,9.746,2.556,0,1,0,0,0,1,0,1,1
Medium,Healthcare,0,0,7.225,31.886,1,0,0,0,1,1,0,1,1
Low,Healthcare,0,1,74.192,28.675,1,1,0,0,0,0,0,1,1
Medium,Education,0,1,13.644,5.879,0,0,1,1,1,0,0,1,1
Medium,Healthcare,1,1,10.157,4.01,0,0,0,1,0,1,0,1,1
Low,Retail,0,1,10.3,28.319,1,0,1,1,1,1,0,1,1
Medium,Retail,1,0,5.079,32.638,0,0,0,0,0,0,0,0,1
Medium,Education,1,1,6.585,32.433,0,0,0,1,1,0,0,1,1
Medium,Education,0,0,8.149,35.679,1,0,1,1,0,1,0,1,1
High,IT,0,1,5.997,2.387,0,0,1,0,0,1,0,1,1
Medium,Healthcare,1,1,1.12,2.779,0,1,1,0,1,1,1,1,1
Low,Healthcare,1,1,10.82,5.149,0,0,1,1,1,1,0,1,1
Medium,Healthcare,1,1,69.329,427.801,1,0,1,0,1,1,0,0,1
Medium,Education,1,0,1.156,37.714,0,0,1,1,0,0,0,1,1
High,Healthcare,1,1,7.991,400.393,0,0,0,1,0,0,0,0,1
Medium,IT,1,1,13.178,3.931,0,1,1,1,0,1,0,1,1
Medium,Healthcare,1,1,8.289,3.686,0,0,0,0,1,0,0,0,1
Medium,Education,1,1,9.152,4.775,1,1,0,0,0,1,0,1,1
High,Education,0,1,10.799,4.664,1,0,0,0,1,0,0,0,1
Medium,Retail,1,0,10.555,16.423,1,0,1,0,1,1,1,1,1
High,Retail,1,1,9.021,38.026,0,1,1,1,0,1,0,1,1
Low,Education,1,1,7.717,17.412,0,1,1,0,1,0,0,1,1
Medium,Retail,1,1,9.028,495.336,0,0,0,0,1,0,0,0,1
Low,Healthcare,1,1,636.763,5.151,0,0,0,0,1,1,0,1,1
High,Education,1,1,8.304,30.838,0,0,0,1,1,1,0,0,1
Low,Healthcare,1,1,578.138,38.248,0,0,0,1,0,0,0,0,1
Medium,Education,1,1,4.438,8.328,1,0,1,0,0,1,0,1,1
Low,Education,1,1,8.1,54.591,1,1,0,1,1,1,1,1,1
High,Healthcare,1,1,10.524,5.064,1,1,0,1,1,0,0,1,1
Medium,IT,1,1,9.851,5.725,0,0,0,0,1,0,0,1,1
High,IT,1,1,7.836,622.981,1,0,1,1,1,1,0,0,1
Low,Education,1,1,11.493,21.638,0,0,0,1,1,1,0,0,1
Low,Healthcare,1,1,6.861,5.332,0,1,0,1,1,1,1,1,1
Medium,Retail,1,1,41.643,6.218,0,0,0,1,0,1,0,1,1
Medium,Healthcare,0,1,3.635,17.581,0,1,1,0,0,0,0,1,1
Medium,IT,1,1,5.637,37.431,0,0,1,0,0,1,0,0,1
High,IT,0,1,9.633,34.548,0,0,1,0,0,1,0,1,1
Low,Healthcare,1,1,6.73,5.283,0,0,1,1,1,0,0,1,1
Medium,Education,1,1,8.921,4.09,1,0,0,0,0,0,0,1,1
Medium,Healthcare,0,1,11.292,6.723,0,0,0,0,1,1,0,0,1
Medium,Education,1,0,5.799,38.311,0,0,1,0,1,0,0,1,1
Medium,Healthcare,1,1,895.699,5.374,0,1,1,1,0,0,0,1,1
Low,Retail,1,1,9.077,3.909,0,1,0,0,0,1,0,1,1
High,Healthcare,1,1,62.785,4.738,1,0,0,1,0,0,0,1,1
High,Healthcare,0,1,10.708,5.178,0,1,0,0,1,1,0,1,1
Medium,Retail,1,1,74.245,3.422,1,1,1,0,0,1,1,1,1
Medium,Education,1,1,7.232,5.271,1,1,1,0,1,1,0,1,1
Low,Education,1,1,12.223,44.33,1,0,1,1,0,0,1,1,1
Medium,Healthcare,1,0,9.045,15.447,0,0,1,0,0,0,0,1,1
Medium,Retail,1,0,9.85,40.921,0,0,0,0,0,0,0,1,1
Medium,Retail,0,1,10.709,27.718,1,0,1,1,0,0,0,1,1
High,Education,0,1,6.699,26.418,1,1,0,0,0,1,0,0,1
Low,Retail,1,1,1.049,17.189,1,1,1,0,0,1,0,0,1
Low,IT,1,1,699.621,4.928,1,1,0,0,1,0,0,1,1
Medium,Healthcare,0,1,69.107,5.669,1,0,0,1,0,0,0,1,1
Medium,Healthcare,1,1,7.456,7.18,0,0,0,1,1,1,0,0,1
Low,IT,0,1,675.587,17.889,1,0,0,1,0,1,0,1,1
Medium,Education,1,0,9.644,51.51,1,0,1,1,0,0,1,0,1
Medium,Retail,1,0,8.534,5.249,1,0,0,0,0,1,0,0,1
High,Healthcare,1,0,7.017,31.292,1,0,0,0,0,1,1,1,1
Medium,Retail,0,1,9.349,2.623,1,0,0,1,1,1,0,1,1
High,Retail,0,1,7.449,23.713,1,0,1,1,0,0,0,1,1
Medium,Education,1,1,7.343,3.208,0,0,0,1,1,1,1,1,1
High,IT,0,1,8.097,4.303,0,1,0,1,0,0,0,1,1
High,Education,0,1,8.926,6.04,1,0,0,1,0,1,1,0,1
High,Retail,1,0,877.969,5.658,1,1,0,1,1,1,0,1,1
High,Education,1,1,7.273,15.768,1,1,0,1,0,0,0,0,1
Medium,Education,0,1,9.694,2.816,0,0,0,0,1,0,0,1,1
Medium,Healthcare,1,1,7.555,5.949,0,1,0,0,0,0,1,1,1
High,Retail,0,1,6.69,29.033,0,0,0,0,0,1,0,0,1
Medium,Healthcare,1,1,5.063,39.146,0,1,0,1,1,1,1,1,1
Low,IT,1,1,9.966,14.42,0,1,0,0,1,1,0,1,1
High,Retail,1,1,8.024,5.729,0,1,0,0,1,1,0,1,1
Medium,Education,1,1,842.174,1.13,0,0,1,0,1,1,0,0,1
Low,Healthcare,1,0,10.091,15.357,1,1,1,0,1,0,0,1,1
Medium,Healthcare,1,1,7.045,5.576,1,1,0,0,1,1,0,1,1
High,Education,0,1,52.512,68.8,0,1,0,1,1,0,0,1,1
High,IT,1,1,8.139,3.564,0,0,1,1,0,1,0,1,1
Medium,Healthcare,1,1,861.592,39.297,1,0,0,0,1,1,0,1,1
Low,IT,1,1,7.474,5.362,1,0,1,0,1,1,0,1,1
Medium,Healthcare,1,1,10.947,4.434,0,1,1,1,0,1,0,1,1
Medium,IT,1,0,3.027,34.401,0,0,0,1,1,1,0,1,1
Medium,Healthcare,0,1,10.24,3.271,0,1,1,0,1,0,0,0,1
High,Healthcare,1,1,9.582,16.498,0,0,0,1,0,1,0,1,1
Low,Retail,1,1,8.913,434.941,0,0,1,1,0,1,0,1,1
Medium,IT,1,1,13.281,38.621,0,0,0,0,1,1,0,1,1
Low,IT,1,1,10.567,3.343,1,1,0,1,0,0,0,1,1
High,IT,1,0,5.947,2.497,0,0,0,0,1,1,0,1,1
Low,Healthcare,1,0,6.984,2.649,1,0,0,0,1,1,0,1,1
Medium,IT,0,1,7.658,492.756,0,0,0,1,1,1,0,1,1
High,Healthcare,0,1,881.483,53.224,1,0,0,0,0,1,0,1,1
Medium,Retail,0,1,92.788,3.509,1,1,1,0,1,0,0,1,1
Low,Education,1,1,9.785,33.512,1,0,0,1,0,1,1,1,1
Low,Retail,0,1,9.631,2.719,0,0,1,0,0,0,0,0,1
Medium,Education,1,1,8.505,5.405,0,0,1,0,1,1,0,1,1
Medium,IT,1,0,8.831,4.046,0,0,0,0,0,0,0,1,1
High,Healthcare,1,1,58.184,4.551,1,0,0,1,0,1,0,1,1
Medium,Education,1,1,64.979,45.377,0,0,1,0,1,1,1,0,1
High,Retail,0,0,9.79,35.384,1,0,1,1,0,1,0,1,1
High,Education,1,1,9.674,22.519,0,0,0,0,0,1,0,1,1
High,Retail,1,1,9.447,2.505,0,0,0,1,1,1,0,0,1
Medium,Education,1,1,6.971,5.691,1,0,0,0,0,0,1,0,1
High,IT,1,1,9.82,2.911,0,0,0,0,0,0,1,1,1
High,Retail,1,0,5.677,3.384,0,0,0,1,0,1,1,0,1
Medium,IT,0,1,10.154,2.298,1,0,0,0,1,1,0,0,1
Medium,Healthcare,1,1,74.782,217.59,1,0,0,1,0,1,0,0,1
High,Retail,1,1,11.368,2.846,0,1,1,1,0,1,1,0,1
High,Education,1,1,495.711,6.532,0,0,1,1,0,0,0,1,1
Low,IT,0,1,11.526,4.987,1,0,1,0,1,0,1,1,1
High,IT,0,1,7.277,32.098,1,1,0,1,0,0,0,1,1
Medium,Healthcare,0,0,7.241,5.624,0,0,1,0,0,0,0,1,1
Medium,Healthcare,1,1,8.389,37.715,1,0,0,0,1,0,0,1,1
Medium,Retail,0,1,6.605,6.031,1,0,1,1,0,1,0,1,1
Medium,IT,0,1,7.855,731.759,0,1,1,1,0,1,0,0,1
Medium,Healthcare,1,1,65.247,5.542,0,1,0,0,0,0,0,1,1
Medium,Education,1,1,65.978,4.141,1,1,1,0,0,0,0,1,1
Medium,Education,1,1,8.973,504.896,0,0,0,1,0,0,1,1,1
Medium,Healthcare,1,1,6.196,4.022,0,1,0,0,0,0,0,1,1
High,Retail,1,1,6.463,1.246,0,1,0,1,0,1,1,0,1
Low,IT,0,1,52.544,30.18,0,1,1,0,0,0,0,0,1
High,Education,1,1,69.921,2.572,0,0,1,1,0,1,0,1,1
High,Healthcare,0,1,10.623,2.984,1,0,1,0,1,0,0,1,1
High,Education,1,0,6.308,6.69,1,1,1,0,0,1,0,1,1
Medium,Retail,0,1,6.536,5.683,0,0,1,1,1,1,0,1,1
High,IT,1,1,838.784,4.661,0,1,0,1,0,1,0,1,1
Low,Retail,1,1,7.258,5.218,1,0,0,1,1,0,0,1,1
Low,Education,0,0,12.456,11.618,1,0,1,1,1,1,0,1,1
High,Healthcare,1,1,7.674,5.092,1,1,0,0,1,1,0,1,1
High,Education,1,1,8.67,5.409,1,0,0,0,1,1,0,0,1
Medium,IT,1,1,9.887,6.403,1,1,1,1,1,0,0,0,1
Medium,Education,1,0,9.849,51.478,0,0,0,0,1,0,1,1,1
Medium,Education,1,1,8.466,18.638,0,0,0,1,1,0,1,1,1
Medium,Retail,1,1,7.677,1.044,0,0,1,1,1,1,0,1,1
Medium,IT,0,1,12.048,5.989,0,0,0,1,0,1,1,0,1
High,Healthcare,0,1,7.8,24.894,1,1,0,0,0,0,1,1,1
High,IT,1,1,7.116,29.26,1,0,0,0,1,0,0,1,1
High,IT,1,0,6.708,5.484,1,0,1,1,0,0,1,0,1
Medium,IT,1,0,4.546,3.542,0,0,0,1,1,0,0,1,1
Medium,IT,1,1,9.643,37.297,1,0,1,1,1,1,0,0,1
Medium,Education,1,1,3.303,3.696,0,1,1,1,0,1,1,1,1
Medium,Education,1,1,7.988,4.521,1,0,1,0,1,1,1,0,1
Medium,Retail,1,1,75.902,36.604,0,0,1,0,1,1,0,0,1
Medium,Healthcare,1,1,12.479,4.171,0,1,1,0,0,0,0,1,1
Medium,Education,1,1,4.336,3.244,1,0,0,0,1,1,0,1,1
High,IT,1,0,6.197,4.527,1,0,1,0,0,1,0,1,1
Medium,IT,1,0,7.727,4.47,1,0,0,0,0,1,1,0,1
Medium,Retail,1,1,7.604,6.846,0,0,0,0,1,0,0,0,1
Medium,IT,0,1,690.091,34.281,1,0,1,0,1,1,0,1,1
Low,Retail,0,1,78.38,37.237,1,1,0,0,1,1,1,0,1
Medium,Healthcare,1,1,5.48,4.358,1,0,0,0,1,0,0,1,1
Low,Healthcare,1,1,8.714,544.665,1,1,1,0,1,1,0,1,1
Medium,IT,1,1,33.57,2.362,1,0,0,1,1,0,0,0,1
Low,Healthcare,1,1,7.948,4.155,0,1,0,0,0,1,1,0,1
High,IT,0,1,6.799,23.826,0,1,1,1,0,0,0,1,1
Low,IT,0,1,10.032,3.592,1,0,0,0,1,0,0,1,1
High,Retail,1,0,11.51,5.609,1,0,1,0,0,0,0,1,1
High,Education,1,1,7.337,2.91,0,0,0,0,1,1,0,1,1
Medium,Healthcare,1,1,10.781,4.265,0,0,1,0,0,1,0,1,1
Low,Education,1,1,7.367,3.206,1,0,0,0,0,1,1,0,1
Medium,Retail,0,1,6.067,2.71,0,0,0,0,1,1,0,1,1
Medium,Healthcare,1,1,1.149,5.457,0,0,0,0,0,1,0,1,1
Low,Education,1,1,9.041,24.321,1,0,1,0,0,0,1,1,1
Medium,Education,1,1,8.008,443.944,0,0,0,0,0,1,0,1,1
Medium,Education,1,0,9.374,4.462,0,0,1,1,0,1,0,1,1
High,Healthcare,0,1,8.548,27.223,0,0,0,0,1,1,0,1,1
Medium,Education,0,1,7.861,4.233,0,0,1,0,1,1,1,1,1
High,IT,1,1,53.471,2.597,0,0,0,0,1,1,0,1,1
Low,Retail,1,0,7.458,4.782,1,0,0,1,1,0,1,1,1
Medium,Retail,0,1,9.246,20.275,1,1,1,0,0,1,0,1,1
Medium,Retail,0,0,7.754,34.905,0,0,1,0,1,1,0,0,1
High,Retail,1,0,9.804,36.208,0,0,1,0,0,1,0,1,1
High,Education,0,1,8.767,5.669,1,1,0,1,0,1,0,1,1
Medium,Healthcare,1,0,6.243,4.21,0,1,1,1,0,0,0,0,1
Medium,Healthcare,1,0,5.361,5.432,1,0,0,0,1,1,0,0,1
Medium,Education,1,1,7.685,4.832,0,0,1,0,0,1,0,1,1
Medium,Education,1,0,6.951,4.822,1,1,0,0,0,0,0,1,1
Medium,Education,0,1,8.672,35.021,1,0,0,0,1,1,0,1,1
Medium,Education,1,0,65.637,553.135,1,0,1,1,0,1,0,0,1
Medium,Education,1,1,67.692,3.465,0,0,0,1,0,1,0,1,1
High,Retail,1,1,10.106,14.052,1,0,1,1,0,1,0,1,1
High,Retail,0,1,8.296,36.778,0,0,1,0,1,1,0,0,1
Low,IT,1,1,6.594,4.68,1,0,1,0,0,0,0,1,1
High,Education,1,0,803.528,159.006,0,0,0,0,0,1,0,1,1
Medium,Education,1,0,10.757,2.672,0,1,1,0,0,0,0,1,1
Medium,Retail,1,1,8.587,21.541,1,1,0,0,0,1,0,1,1
High,Education,1,1,918.59,5.18,0,1,1,1,0,1,0,1,1
Medium,Healthcare,1,1,6.495,6.509,0,0,0,1,0,0,0,0,1
High,Education,0,1,10.052,36.854,0,0,0,0,1,1,0,1,1
Medium,IT,1,0,12.636,4.797,0,0,0,1,1,1,0,0,1
High,IT,0,1,6.417,4.758,1,0,1,0,1,1,0,0,1
High,Education,1,1,5.636,6.33,0,0,1,0,0,1,0,1,1
Medium,IT,1,1,8.351,30.211,1,0,1,1,1,1,0,0,1
High,Education,1,1,975.101,36.701,1,0,0,0,0,1,0,0,1
High,Healthcare,1,1,7.817,34.888,0,0,0,0,1,0,0,1,1
Medium,IT,0,0,5.893,4.113,0,1,0,0,1,0,0,1,1
Medium,IT,1,1,778.283,77.564,0,0,0,1,0,1,0,1,1
High,Retail,1,1,9.196,4.046,1,0,1,0,1,1,0,0,1
Medium,Education,0,1,7.185,271.793,1,1,0,0,0,1,0,0,1
High,Education,1,1,9.214,2.268,0,0,0,0,1,1,1,0,1
Low,IT,1,1,1.032,587.896,0,1,1,0,0,1,1,1,1
Medium,Healthcare,0,1,8.48,27.111,1,1,1,0,1,0,0,0,1
High,IT,0,1,7.944,4.995,1,0,1,1,0,0,0,0,1
Medium,Education,1,1,9.658,2.98,1,1,0,1,0,1,0,0,1
Medium,Education,0,1,6.287,2.099,1,1,0,0,0,1,0,1,1
Medium,Healthcare,1,1,6.09,4.907,1,0,0,1,1,0,0,1,1
High,Education,0,1,7.466,30.538,1,1,1,1,1,1,0,0,1
Medium,Education,0,1,7.016,463.813,1,0,0,0,1,1,0,1,1
Medium,Education,1,1,6.393,4.748,1,1,0,0,1,1,1,1,1
Medium,IT,0,1,11.66,4.819,1,0,0,0,0,1,0,0,1
Medium,Healthcare,0,1,12.343,359.777,0,0,1,1,0,1,0,0,1
Medium,Healthcare,0,0,7.292,5.029,0,0,0,0,1,0,0,0,1
Medium,Healthcare,1,1,8.183,26.161,1,0,0,1,1,1,0,1,1
Low,Education,1,0,7.624,3.188,0,1,0,0,0,1,0,0,1
Medium,IT,1,1,10.214,5.06,1,1,0,0,1,1,0,0,1
Medium,IT,1,1,10.611,4.248,1,0,0,0,0,1,0,0,1
Medium,Education,1,0,4.445,3.084,0,1,0,1,1,1,0,0,1
Medium,IT,1,0,8.952,17.932,0,1,1,1,0,0,1,1,1
Medium,Education,0,1,5.386,9.451,0,1,1,0,0,1,0,1,1
High,Healthcare,1,1,11.516,4.077,0,0,1,0,1,0,0,1,1
Medium,Retail,0,0,8.88,6.473,1,0,0,0,0,0,0,0,1
Low,Education,1,1,6.353,37.921,0,0,1,0,1,1,0,0,1
Low,Retail,1,1,7.517,34.579,1,0,0,1,1,1,1,0,1
Medium,Healthcare,1,0,74.22,39.634,0,1,1,0,1,0,0,1,1
Medium,Healthcare,0,1,9.05,7.268,1,0,1,1,1,1,0,1,1
Medium,Education,1,1,10.083,51.278,0,0,0,0,0,0,1,1,1
Low,Retail,1,1,570.358,25.996,1,0,0,1,1,0,0,1,1
Medium,IT,1,1,11.677,4.042,0,1,1,0,0,0,0,1,1
Low,Retail,1,1,11.211,4.498,0,0,1,0,0,0,0,0,1
Low,Education,1,1,624.935,24.154,1,0,0,0,1,1,0,0,1
High,Retail,0,1,8.145,5.138,1,0,0,0,0,1,0,1,1
Medium,IT,1,1,11.421,27.732,0,0,1,0,0,1,0,1,1
High,Education,0,1,10.465,1.733,0,0,1,1,1,1,1,1,1
Low,Education,1,1,7.326,4.114,1,1,1,0,1,0,0,1,1
Medium,Retail,1,1,9.628,3.876,1,0,1,0,0,1,1,0,1
Medium,Retail,1,1,13.994,39.984,0,1,1,1,1,1,0,1,1
Medium,Education,1,1,8.21,28.53,0,0,1,0,1,0,0,1,1
Medium,Retail,1,1,6.734,30.623,0,0,1,1,0,1,0,1,1
Medium,Retail,0,0,8.344,5.692,0,1,0,1,1,0,0,1,1
Low,Retail,1,0,8.493,4.661,0,0,1,0,1,1,0,1,1
Medium,Education,0,1,6.95,25.648,0,0,1,1,0,1,0,1,1
High,Education,1,1,8.883,10.739,0,0,0,0,1,1,1,1,1
Medium,IT,0,1,54.911,2.628,0,1,0,0,0,1,1,1,1
Low,Education,0,1,6.668,4.235,0,0,1,1,1,1,0,1,1
Medium,IT,1,1,9.516,30.521,0,1,0,0,1,0,0,1,1
High,Education,0,1,4.49,2.935,0,0,0,0,1,0,0,1,1
Low,Education,1,1,9.806,3.116,0,0,1,1,1,1,0,0,1
Medium,Education,1,1,3.976,38.909,0,1,0,0,1,1,0,1,1
High,Healthcare,0,1,45.373,5.176,0,1,0,0,1,1,0,1,1
Medium,Education,1,1,7.002,39.993,1,1,1,1,1,1,1,1,1
Low,IT,0,1,8.573,4.092,0,1,0,0,0,1,1,1,1
Medium,Healthcare,0,1,10.65,36.627,1,0,0,1,0,1,1,1,1
Low,Education,1,1,811.524,32.509,0,1,0,0,0,0,0,1,1
Low,Healthcare,0,1,750.689,5.341,0,0,1,0,1,0,1,0,1
Low,Healthcare,1,1,9.159,5.113,1,0,0,0,1,1,0,1,1
Low,Retail,0,0,6.258,7.067,0,0,0,0,0,1,0,1,1
High,Retail,0,1,8.278,49.158,0,1,0,0,0,1,0,0,1
High,Retail,1,1,560.11,32.523,0,1,0,0,0,1,0,1,1
Medium,Education,1,1,8.165,2.643,0,0,1,1,1,1,0,1,1
High,Education,0,1,7.74,5.429,0,0,1,0,0,0,0,1,1
Medium,IT,1,0,6.391,2.777,1,0,0,0,0,1,0,1,1
Medium,Retail,0,0,8.33,5.214,0,0,1,0,0,1,0,1,1
Low,Healthcare,1,0,8.317,2.86,1,0,0,1,0,0,0,1,1
High,Retail,1,1,10.35,452.373,0,0,0,0,1,1,1,1,1
Medium,Healthcare,0,1,4.788,2.41,0,0,0,1,0,0,0,1,1
Medium,Healthcare,1,1,7.847,5.169,1,1,1,1,0,1,1,1,1
Medium,Healthcare,1,1,6.479,21.494,0,0,0,1,0,1,0,1,1
Low,Healthcare,1,1,9.739,4.409,1,1,1,1,1,1,1,1,1
High,IT,1,1,9.507,37.032,0,0,0,0,0,1,1,0,1
Low,Healthcare,1,1,9.015,415.27,0,0,0,0,0,1,0,1,1
Medium,Retail,0,1,6.592,34.062,0,0,1,1,1,0,0,1,1
Low,Healthcare,1,1,977.094,33.711,0,0,0,1,0,1,0,1,1
Medium,Education,0,1,4.939,4.232,1,1,1,0,1,0,0,1,1
Medium,Retail,1,1,45.293,2.496,0,0,1,1,0,1,0,1,1
Medium,Healthcare,1,1,5.448,2.487,0,0,0,1,0,0,0,1,1
Low,Healthcare,1,0,7.933,34.621,0,0,1,0,1,0,0,1,1
Medium,Education,0,0,9.35,34.037,0,0,1,1,0,0,0,1,1
Low,IT,0,1,2.047,24.919,1,0,1,0,0,1,0,1,1
Medium,Retail,0,1,10.645,5.386,0,0,0,0,1,1,1,1,1
Low,Retail,1,1,8.262,34.982,1,0,1,1,0,0,0,0,1
Medium,Healthcare,1,1,4.864,3.66,0,1,1,0,1,1,0,1,1
Low,IT,1,1,8.201,20.087,0,0,1,0,0,1,0,0,1
High,Healthcare,1,1,1.018,710.745,1,1,0,0,1,1,0,0,1
Medium,Education,0,1,9.198,764.06,1,0,1,0,0,0,0,1,1
Low,Education,0,1,10.198,2.829,1,0,1,1,0,0,0,1,1
Low,Retail,0,1,52.675,5.839,1,0,0,0,1,0,1,1,1
Medium,Education,1,1,7.171,3.862,0,1,1,0,1,1,0,1,1
High,Retail,1,1,6.15,6.405,0,0,1,0,1,1,0,0,1
Low,Healthcare,0,1,11.435,4.504,1,0,1,0,0,1,0,0,1
High,Education,1,1,927.872,41.496,0,0,0,1,0,1,1,1,1
Medium,Healthcare,1,0,13.694,25.109,1,0,1,1,0,0,0,0,1
High,IT,1,1,7.064,26.82,1,0,1,0,1,0,0,1,1
High,Healthcare,1,1,655.065,4.03,1,1,1,1,0,0,1,1,1
High,Education,1,1,7.714,4.297,1,0,0,1,0,1,0,1,1
Low,Healthcare,0,1,10.756,2.177,1,1,0,0,0,0,0,0,1
High,IT,1,0,7.267,29.068,0,0,0,1,1,0,0,1,1
Low,IT,1,1,8.248,48.301,1,0,1,1,0,0,1,1,1
Medium,Retail,0,1,819.338,19.251,0,0,1,0,0,1,0,0,1
Medium,Education,1,1,8.078,4.2,1,1,0,1,0,0,1,1,1
Medium,Healthcare,1,1,66.952,5.856,1,0,0,1,0,1,0,0,1
Medium,Retail,1,1,7.725,4.578,1,0,0,0,0,1,0,1,1
High,Healthcare,1,0,7.639,4.503,1,0,1,1,1,0,0,0,1
High,Retail,0,1,7.984,9.697,1,0,0,0,0,0,0,0,1
Medium,Education,0,1,9.887,2.767,0,0,0,1,0,1,1,1,1
Medium,Retail,1,1,11.521,708.13,1,0,0,0,1,0,1,1,1
Low,IT,1,1,6.319,31.012,0,0,1,0,0,1,0,1,1
Medium,IT,0,1,721.601,5.896,1,0,0,1,0,1,0,1,1
Medium,Education,1,1,6.349,3.083,0,0,1,0,0,1,0,0,1
High,Education,1,1,8.374,35.832,1,0,0,0,0,0,0,0,1
High,Retail,0,1,6.923,47.733,0,1,0,0,0,1,0,1,1
Medium,Education,1,1,8.479,4.151,1,0,0,0,0,1,1,1,1
High,Retail,1,1,10.207,457.226,0,0,0,0,1,1,0,1,1
Medium,Retail,1,1,29.483,27.724,1,1,0,1,0,1,0,1,1
Low,Healthcare,1,0,8.983,22.955,0,0,0,1,0,1,1,1,1
Medium,Retail,1,0,7.079,2.671,1,1,0,0,0,1,1,1,1
Medium,Healthcare,1,0,8.92,320.152,0,0,0,1,0,0,0,0,1
Medium,IT,1,1,62.07,36.56,1,0,1,0,1,0,0,1,1
Low,IT,0,0,1.039,5.555,0,1,1,0,0,1,0,0,1
Medium,IT,1,1,9.826,4.131,0,0,0,1,0,1,0,1,1
Low,Retail,0,1,9.136,47.268,1,1,0,0,0,1,1,1,1
High,Healthcare,1,1,9.586,4.212,1,0,1,1,0,1,1,1,1
High,IT,0,1,6.508,2.326,1,0,0,1,1,0,0,1,1
Medium,IT,0,1,676.075,4.025,1,1,1,1,1,0,0,1,1
Low,Healthcare,1,1,9.504,4.196,0,0,1,1,1,0,0,0,1
Medium,Retail,0,1,6.464,5.139,0,0,0,1,0,1,0,0,1
Medium,Healthcare,1,1,10.891,23.971,0,0,1,1,1,0,0,1,1
High,Education,0,1,7.352,9.393,0,0,0,1,0,1,1,1,1
Low,IT,1,1,9.003,4.264,0,0,0,0,0,1,0,1,1
Medium,IT,1,1,1.219,4.53,1,1,0,0,1,1,1,1,1
Medium,Healthcare,1,1,6.587,37.309,0,1,1,1,0,1,0,1,1
Low,Healthcare,0,1,8.137,4.042,0,0,0,1,0,0,1,1,1
Low,Retail,1,0,10.108,5.318,1,1,0,1,1,0,1,0,1
